니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
775,10763454,478374,71761,60265,61794,68893,70004,60031,13155332,318916,87707,73657,75526,84203,85561,73371,11959393,398645,79734,66961,68660,76548,77782,66701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,10776954,478974,71851,60340,61871,68979,70092,60106,13171832,319316,87817,73749,75621,84308,85668,73463,11974393,399145,79834,67045,68746,76644,77880,66784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,10790454,479574,71941,60416,61949,69066,70180,60181,13188332,319716,87927,73841,75715,84414,85775,73555,11989393,399645,79934,67129,68832,76740,77978,66868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,10803954,480174,72031,60491,62026,69152,70268,60257,13204832,320116,88037,73934,75810,84519,85883,73647,12004393,400145,80034,67212,68918,76836,78075,66952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,10817454,480774,72121,60567,62104,69239,70355,60332,13221332,320516,88147,74026,75905,84625,85990,73739,12019393,400645,80134,67296,69004,76932,78173,67035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,10830954,481374,72211,60642,62181,69325,70443,60407,13237832,320916,88257,74119,75999,84731,86097,73831,12034393,401145,80234,67380,69090,77028,78270,67119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,11372502,505442,75821,63675,65291,72792,73966,63428,13899724,336962,92671,77825,79800,88967,90402,77523,12636113,421202,84246,70750,72545,80880,82184,70475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,11386002,506042,75911,63750,65368,72878,74053,63503,13916224,337362,92781,77917,79894,89073,90510,77615,12651113,421702,84346,70834,72631,80976,82282,70559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,11399502,506642,76001,63826,65446,72964,74141,63578,13932724,337762,92891,78009,79989,89179,90617,77707,12666113,422202,84446,70918,72717,81072,82379,70643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,11413002,507242,76091,63902,65523,73051,74229,63654,13949224,338162,93001,78102,80084,89284,90724,77799,12681113,422702,84546,71002,72804,81168,82477,70726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,11426502,507842,76181,63977,65601,73137,74317,63729,13965724,338562,93111,78194,80179,89390,90832,77891,12696113,423202,84646,71086,72890,81264,82574,70810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,11440002,508442,76271,64053,65678,73224,74405,63804,13982224,338962,93221,78287,80273,89496,90939,77983,12711113,423702,84746,71170,72976,81360,82672,70894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,11453502,509042,76361,64128,65756,73310,74492,63879,13998724,339362,93331,78379,80368,89601,91046,78075,12726113,424202,84846,71254,73062,81456,82769,70977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,11467002,509642,76451,64204,65833,73396,74580,63955,14015224,339762,93441,78471,80463,89707,91154,78167,12741113,424702,84946,71338,73148,81552,82867,71061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,11480502,510242,76541,64279,65911,73483,74668,64030,14031724,340162,93551,78564,80557,89812,91261,78259,12756113,425202,85046,71422,73234,81648,82964,71144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,11494002,510842,76631,64355,65988,73569,74756,64105,14048224,340562,93661,78656,80652,89918,91368,78351,12771113,425702,85146,71506,73320,81744,83062,71228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,11507502,511442,76721,64431,66066,73656,74844,64181,14064724,340962,93771,78748,80747,90024,91476,78443,12786113,426202,85246,71590,73406,81840,83160,71312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,11521002,512042,76811,64506,66143,73742,74931,64256,14081224,341362,93881,78841,80842,90129,91583,78535,12801113,426702,85346,71674,73492,81936,83257,71395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,11534502,512642,76901,64582,66221,73828,75019,64331,14097724,341762,93991,78933,80936,90235,91690,78627,12816113,427202,85446,71757,73579,82032,83355,71479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,11548002,513242,76991,64657,66298,73915,75107,64406,14114224,342162,94101,79026,81031,90340,91797,78719,12831113,427702,85546,71841,73665,82128,83452,71563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,11561502,513842,77081,64733,66376,74001,75195,64482,14130724,342562,94211,79118,81126,90446,91905,78811,12846113,428202,85646,71925,73751,82224,83550,71646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,11575002,514442,77171,64808,66453,74088,75283,64557,14147224,342962,94321,79210,81221,90552,92012,78903,12861113,428702,85746,72009,73837,82320,83647,71730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,11588502,515042,77261,64884,66531,74174,75370,64632,14163724,343362,94431,79303,81315,90657,92119,78995,12876113,429202,85846,72093,73923,82416,83745,71814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,11602002,515642,77351,64960,66608,74260,75458,64708,14180224,343762,94541,79395,81410,90763,92227,79087,12891113,429702,85946,72177,74009,82512,83842,71897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,11615502,516242,77441,65035,66686,74347,75546,64783,14196724,344162,94651,79488,81505,90868,92334,79179,12906113,430202,86046,72261,74095,82608,83940,71981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,11629002,516842,77531,65111,66763,74433,75634,64858,14213224,344562,94761,79580,81599,90974,92441,79271,12921113,430702,86146,72345,74181,82704,84038,72065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,12210452,542684,81408,68366,70101,78155,79415,68101,14923886,361790,99498,83559,85679,95522,97063,83234,13567169,452237,90453,75962,77890,86838,88239,75668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,12224627,543314,81502,68445,70182,78245,79507,68180,14941211,362210,99614,83656,85779,95633,97176,83331,13582919,452762,90558,76051,77981,86939,88342,75755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,12238802,543944,81597,68525,70264,78336,79600,68259,14958536,362630,99729,83753,85878,95744,97288,83428,13598669,453287,90663,76139,78071,87040,88444,75843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,12252977,544574,81691,68604,70345,78427,79692,68338,14975861,363050,99845,83850,85977,95855,97401,83524,13614419,453812,90768,76227,78161,87141,88546,75931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,12267152,545204,81786,68684,70427,78518,79784,68417,14993186,363470,99960,83947,86077,95966,97514,83621,13630169,454337,90873,76315,78252,87242,88649,76019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,12281327,545834,81880,68763,70508,78608,79876,68496,15010511,363890,100076,84044,86176,96077,97626,83718,13645919,454862,90978,76403,78342,87343,88751,76107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,12295502,546464,81975,68842,70589,78699,79968,68575,15027836,364310,100191,84141,86276,96188,97739,83814,13661669,455387,91083,76491,78433,87443,88854,76195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,12309677,547094,82069,68922,70671,78790,80061,68654,15045161,364730,100307,84238,86375,96299,97852,83911,13677419,455912,91188,76580,78523,87544,88956,76283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,12323852,547724,82164,69001,70752,78880,80153,68733,15062486,365150,100422,84335,86475,96409,97964,84007,13693169,456437,91293,76668,78613,87645,89059,76370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,12338027,548354,82258,69080,70833,78971,80245,68812,15079811,365570,100538,84432,86574,96520,98077,84104,13708919,456962,91398,76756,78704,87746,89161,76458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,12352202,548984,82353,69160,70915,79062,80337,68891,15097136,365990,100653,84529,86674,96631,98190,84201,13724669,457487,91503,76844,78794,87847,89263,76546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,12366377,549614,82447,69239,70996,79153,80429,68970,15114461,366410,100769,84626,86773,96742,98302,84297,13740419,458012,91608,76932,78885,87947,89366,76634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,12380552,550244,82542,69318,71078,79243,80521,69050,15131786,366830,100884,84723,86873,96853,98415,84394,13756169,458537,91713,77021,78975,88048,89468,76722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,12394727,550874,82636,69398,71159,79334,80614,69129,15149111,367250,101000,84820,86972,96964,98528,84490,13771919,459062,91818,77109,79066,88149,89571,76810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,12408902,551504,82731,69477,71240,79425,80706,69208,15166436,367670,101115,84917,87072,97075,98640,84587,13787669,459587,91923,77197,79156,88250,89673,76897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,12423077,552134,82825,69557,71322,79516,80798,69287,15183761,368090,101231,85014,87171,97186,98753,84684,13803419,460112,92028,77285,79246,88351,89776,76985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,12437252,552764,82920,69636,71403,79606,80890,69366,15201086,368510,101346,85111,87270,97296,98866,84780,13819169,460637,92133,77373,79337,88451,89878,77073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,12451427,553394,83014,69715,71484,79697,80982,69445,15218411,368930,101462,85208,87370,97407,98978,84877,13834919,461162,92238,77461,79427,88552,89980,77161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,12465602,554024,83109,69795,71566,79788,81075,69524,15235736,369350,101577,85305,87469,97518,99091,84974,13850669,461687,92343,77550,79518,88653,90083,77249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,12479777,554654,83203,69874,71647,79878,81167,69603,15253061,369770,101693,85402,87569,97629,99204,85070,13866419,462212,92448,77638,79608,88754,90185,77337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,13103766,582388,87363,73367,75229,83872,85225,73083,16015714,388258,106777,89671,91947,102510,104164,89323,14559740,485323,97070,81519,83588,93191,94694,81203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,13117941,583018,87458,73447,75311,83963,85317,73162,16033039,388678,106893,89768,92046,102621,104276,89420,14575490,485848,97175,81608,83678,93292,94797,81291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,13132116,583648,87552,73526,75392,84053,85409,73241,16050364,389098,107008,89865,92146,102732,104389,89517,14591240,486373,97280,81696,83769,93393,94899,81379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,13146291,584278,87647,73605,75473,84144,85501,73320,16067689,389518,107124,89962,92245,102843,104502,89613,14606990,486898,97385,81784,83859,93493,95001,81467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,13160466,584908,87741,73685,75555,84235,85593,73399,16085014,389938,107239,90059,92345,102954,104614,89710,14622740,487423,97490,81872,83950,93594,95104,81554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,13174641,585538,87836,73764,75636,84326,85686,73478,16102339,390358,107355,90156,92444,103065,104727,89806,14638490,487948,97595,81960,84040,93695,95206,81642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,13188816,586168,87930,73844,75718,84416,85778,73557,16119664,390778,107470,90253,92544,103175,104840,89903,14654240,488473,97700,82048,84131,93796,95309,81730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,13202991,586798,88025,73923,75799,84507,85870,73636,16136989,391198,107586,90350,92643,103286,104952,90000,14669990,488998,97805,82137,84221,93897,95411,81818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,13217166,587428,88119,74002,75880,84598,85962,73715,16154314,391618,107701,90447,92743,103397,105065,90096,14685740,489523,97910,82225,84311,93998,95514,81906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,13231341,588058,88214,74082,75962,84688,86054,73794,16171639,392038,107817,90544,92842,103508,105178,90193,14701490,490048,98015,82313,84402,94098,95616,81994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,13245516,588688,88308,74161,76043,84779,86147,73873,16188964,392458,107932,90641,92941,103619,105290,90290,14717240,490573,98120,82401,84492,94199,95718,82081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,13259691,589318,88403,74240,76124,84870,86239,73952,16206289,392878,108048,90738,93041,103730,105403,90386,14732990,491098,98225,82489,84583,94300,95821,82169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,13273866,589948,88497,74320,76206,84961,86331,74031,16223614,393298,108163,90835,93140,103841,105516,90483,14748740,491623,98330,82577,84673,94401,95923,82257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,13288041,590578,88592,74399,76287,85051,86423,74110,16240939,393718,108279,90932,93240,103952,105628,90579,14764490,492148,98435,82666,84763,94502,96026,82345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,13302216,591208,88686,74478,76369,85142,86515,74189,16258264,394138,108394,91029,93339,104063,105741,90676,14780240,492673,98540,82754,84854,94602,96128,82433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,13316391,591838,88781,74558,76450,85233,86608,74269,16275589,394558,108510,91126,93439,104173,105854,90773,14795990,493198,98645,82842,84944,94703,96231,82521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,13330566,592468,88875,74637,76531,85324,86700,74348,16292914,394978,108625,91223,93538,104284,105966,90869,14811740,493723,98750,82930,85035,94804,96333,82608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,13344741,593098,88970,74717,76613,85414,86792,74427,16310239,395398,108741,91320,93638,104395,106079,90966,14827490,494248,98855,83018,85125,94905,96435,82696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,13358916,593728,89064,74796,76694,85505,86884,74506,16327564,395818,108856,91417,93737,104506,106192,91063,14843240,494773,98960,83107,85216,95006,96538,82784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,13373091,594358,89159,74875,76775,85596,86976,74585,16344889,396238,108972,91514,93837,104617,106304,91159,14858990,495298,99065,83195,85306,95106,96640,82872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,14041746,624076,93616,78619,80614,89875,91325,78314,17162134,416050,114420,96090,98528,109848,111619,95717,15601940,520063,104018,87354,89571,99861,101472,87015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,14056596,624736,93715,78702,80699,89970,91421,78397,17180284,416490,114541,96191,98632,109964,111737,95818,15618440,520613,104128,87447,89666,99967,101579,87107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,14071446,625396,93814,78785,80784,90065,91518,78479,17198434,416930,114662,96293,98737,110080,111855,95919,15634940,521163,104238,87539,89761,100073,101687,87199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,14086296,626056,93913,78868,80870,90160,91615,78562,17216584,417370,114783,96395,98841,110196,111973,96021,15651440,521713,104348,87631,89855,100178,101794,87291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,14101146,626716,94012,78951,80955,90255,91711,78645,17234734,417810,114904,96496,98945,110312,112091,96122,15667940,522263,104458,87724,89950,100284,101901,87383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,14115996,627376,94111,79035,81040,90351,91808,78728,17252884,418250,115025,96598,99049,110428,112210,96223,15684440,522813,104568,87816,90045,100389,102009,87475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,14130846,628036,94210,79118,81125,90446,91904,78811,17271034,418690,115146,96699,99153,110545,112328,96324,15700940,523363,104678,87909,90139,100495,102116,87567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,14145696,628696,94309,79201,81211,90541,92001,78894,17289184,419130,115267,96801,99258,110661,112446,96425,15717440,523913,104788,88001,90234,100601,102223,87659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,14160546,629356,94408,79284,81296,90636,92098,78976,17307334,419570,115388,96903,99362,110777,112564,96527,15733940,524463,104898,88093,90329,100706,102331,87751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,14175396,630016,94507,79367,81381,90731,92194,79059,17325484,420010,115509,97004,99466,110893,112682,96628,15750440,525013,105008,88186,90424,100812,102438,87844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,14190246,630676,94606,79450,81466,90826,92291,79142,17343634,420450,115630,97106,99570,111009,112800,96729,15766940,525563,105118,88278,90518,100917,102545,87936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,14205096,631336,94705,79533,81552,90921,92387,79225,17361784,420890,115751,97207,99674,111125,112918,96830,15783440,526113,105228,88370,90613,101023,102652,88028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,14219946,631996,94804,79617,81637,91016,92484,79308,17379934,421330,115872,97309,99778,111242,113036,96932,15799940,526663,105338,88463,90708,101129,102760,88120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,14234796,632656,94903,79700,81722,91111,92580,79390,17398084,421770,115993,97411,99883,111358,113154,97033,15816440,527213,105448,88555,90802,101234,102867,88212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,14249646,633316,95002,79783,81807,91206,92677,79473,17416234,422210,116114,97512,99987,111474,113272,97134,15832940,527763,105558,88648,90897,101340,102974,88304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,14264496,633976,95101,79866,81893,91301,92774,79556,17434384,422650,116235,97614,100091,111590,113390,97235,15849440,528313,105668,88740,90992,101446,103082,88396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,14279346,634636,95200,79949,81978,91396,92870,79639,17452534,423090,116356,97716,100195,111706,113508,97336,15865940,528863,105778,88832,91087,101551,103189,88488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,14294196,635296,95299,80032,82063,91491,92967,79722,17470684,423530,116477,97817,100299,111822,113626,97438,15882440,529413,105888,88925,91181,101657,103296,88580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,14309046,635956,95398,80115,82148,91586,93063,79805,17488834,423970,116598,97919,100404,111939,113744,97539,15898940,529963,105998,89017,91276,101762,103404,88672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,14323896,636616,95497,80198,82234,91681,93160,79887,17506984,424410,116719,98020,100508,112055,113862,97640,15915440,530513,106108,89109,91371,101868,103511,88764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,15040091,668447,100272,84208,86345,96265,97817,83881,18382333,445631,122554,102921,105533,117657,119555,102522,16711212,557039,111413,93565,95939,106961,108686,93202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,15054941,669107,100371,84291,86430,96360,97914,83964,18400483,446071,122675,103023,105637,117773,119673,102623,16727712,557589,111523,93657,96034,107067,108793,93294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,15069791,669767,100470,84374,86516,96455,98011,84047,18418633,446511,122796,103124,105741,117889,119791,102724,16744212,558139,111633,93749,96128,107172,108901,93386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,15084641,670427,100569,84458,86601,96550,98107,84130,18436783,446951,122917,103226,105845,118006,119909,102825,16760712,558689,111743,93842,96223,107278,109008,93478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,15099491,671087,100668,84541,86686,96645,98204,84213,18454933,447391,123038,103327,105950,118122,120027,102927,16777212,559239,111853,93934,96318,107383,109115,93570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,15114341,671747,100767,84624,86771,96740,98300,84295,18473083,447831,123159,103429,106054,118238,120145,103028,16793712,559789,111963,94026,96413,107489,109223,93662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,15129191,672407,100866,84707,86857,96835,98397,84378,18491233,448271,123280,103531,106158,118354,120263,103129,16810212,560339,112073,94119,96507,107595,109330,93754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,15144041,673067,100965,84790,86942,96930,98494,84461,18509383,448711,123401,103632,106262,118470,120381,103230,16826712,560889,112183,94211,96602,107700,109437,93846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,15158891,673727,101064,84873,87027,97025,98590,84544,18527533,449151,123522,103734,106366,118586,120499,103331,16843212,561439,112293,94304,96697,107806,109545,93938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,15173741,674387,101163,84956,87112,97120,98687,84627,18545683,449591,123643,103836,106471,118703,120617,103433,16859712,561989,112403,94396,96791,107911,109652,94030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,15188591,675047,101262,85040,87198,97215,98783,84710,18563833,450031,123764,103937,106575,118819,120735,103534,16876212,562539,112513,94488,96886,108017,109759,94122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,15203441,675707,101361,85123,87283,97310,98880,84792,18581983,450471,123885,104039,106679,118935,120853,103635,16892712,563089,112623,94581,96981,108123,109866,94214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,15218291,676367,101460,85206,87368,97405,98976,84875,18600133,450911,124006,104140,106783,119051,120971,103736,16909212,563639,112733,94673,97076,108228,109974,94306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,15233141,677027,101559,85289,87453,97500,99073,84958,18618283,451351,124127,104242,106887,119167,121089,103838,16925712,564189,112843,94765,97170,108334,110081,94398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,15247991,677687,101658,85372,87539,97595,99170,85041,18636433,451791,124248,104344,106992,119283,121207,103939,16942212,564739,112953,94858,97265,108439,110188,94490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,15262841,678347,101757,85455,87624,97690,99266,85124,18654583,452231,124369,104445,107096,119399,121325,104040,16958712,565289,113063,94950,97360,108545,110296,94582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,15277691,679007,101856,85538,87709,97786,99363,85206,18672733,452671,124490,104547,107200,119516,121443,104141,16975212,565839,113173,95043,97455,108651,110403,94674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,15292541,679667,101955,85621,87794,97881,99459,85289,18690883,453111,124611,104648,107304,119632,121561,104242,16991712,566389,113283,95135,97549,108756,110510,94766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,15307391,680327,102054,85705,87880,97976,99556,85372,18709033,453551,124732,104750,107408,119748,121679,104344,17008212,566939,113393,95227,97644,108862,110618,94858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,15322241,680987,102153,85788,87965,98071,99652,85455,18727183,453991,124853,104852,107513,119864,121797,104445,17024712,567489,113503,95320,97739,108967,110725,94950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,16088353,715036,107260,90077,92363,102974,104635,89728,19663543,476690,131096,110094,112888,125857,127887,109667,17875948,595863,119178,100086,102626,114416,116261,99697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,16103878,715726,107364,90164,92452,103073,104736,89814,19682518,477150,131222,110200,112997,125979,128011,109773,17893198,596438,119293,100182,102725,114526,116373,99793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,16119403,716416,107467,90251,92541,103173,104837,89901,19701493,477610,131349,110307,113106,126100,128134,109879,17910448,597013,119408,100279,102824,114636,116485,99890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,16134928,717106,107571,90338,92630,103272,104938,89987,19720468,478070,131475,110413,113215,126222,128257,109984,17927698,597588,119523,100375,102923,114747,116598,99986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,16150453,717796,107674,90425,92719,103372,105039,90074,19739443,478530,131602,110519,113324,126343,128381,110090,17944948,598163,119638,100472,103022,114857,116710,100082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,16165978,718486,107778,90512,92809,103471,105140,90160,19758418,478990,131728,110625,113433,126464,128504,110196,17962198,598738,119753,100568,103121,114968,116822,100178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,16181503,719176,107881,90599,92898,103570,105241,90247,19777393,479450,131855,110732,113542,126586,128628,110302,17979448,599313,119868,100665,103220,115078,116934,100275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,16197028,719866,107985,90685,92987,103670,105342,90334,19796368,479910,131981,110838,113651,126707,128751,110408,17996698,599888,119983,100762,103319,115188,117046,100371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,16212553,720556,108088,90772,93076,103769,105443,90420,19815343,480370,132108,110944,113759,126829,128874,110514,18013948,600463,120098,100858,103418,115299,117159,100467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,16228078,721246,108192,90859,93165,103868,105544,90507,19834318,480830,132234,111050,113868,126950,128998,110619,18031198,601038,120213,100955,103517,115409,117271,100563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,16243603,721936,108295,90946,93254,103968,105645,90593,19853293,481290,132361,111157,113977,127072,129121,110725,18048448,601613,120328,101051,103616,115520,117383,100659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,16259128,722626,108399,91033,93343,104067,105746,90680,19872268,481750,132487,111263,114086,127193,129245,110831,18065698,602188,120443,101148,103715,115630,117495,100756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,16274653,723316,108502,91120,93432,104166,105847,90767,19891243,482210,132614,111369,114195,127315,129368,110937,18082948,602763,120558,101245,103814,115740,117607,100852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,16290178,724006,108606,91207,93522,104266,105948,90853,19910218,482670,132740,111475,114304,127436,129491,111043,18100198,603338,120673,101341,103913,115851,117719,100948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,16305703,724696,108709,91294,93611,104365,106048,90940,19929193,483130,132867,111581,114413,127557,129615,111149,18117448,603913,120788,101438,104012,115961,117832,101044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,16321228,725386,108813,91381,93700,104465,106149,91026,19948168,483590,132993,111688,114522,127679,129738,111254,18134698,604488,120903,101534,104111,116072,117944,101140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,16336753,726076,108916,91468,93789,104564,106250,91113,19967143,484050,133120,111794,114631,127800,129862,111360,18151948,605063,121018,101631,104210,116182,118056,101237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,16352278,726766,109020,91555,93878,104663,106351,91199,19986118,484510,133246,111900,114740,127922,129985,111466,18169198,605638,121133,101727,104309,116293,118168,101333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,16367803,727456,109123,91642,93967,104763,106452,91286,20005093,484970,133373,112006,114849,128043,130108,111572,18186448,606213,121248,101824,104408,116403,118280,101429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,16383328,728146,109227,91729,94056,104862,106553,91373,20024068,485430,133499,112113,114958,128165,130232,111678,18203698,606788,121363,101921,104507,116513,118393,101525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,17202495,764552,114688,96315,98759,110105,111881,95941,21025271,509702,140174,117718,120705,134573,136743,117261,19113883,637127,127431,107016,109732,122339,124312,106601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,17218020,765242,114791,96402,98848,110204,111982,96028,21044246,510162,140301,117824,120814,134694,136867,117367,19131133,637702,127546,107113,109831,122449,124424,106697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,17233545,765932,114895,96489,98937,110304,112083,96114,21063221,510622,140427,117931,120923,134816,136990,117473,19148383,638277,127661,107210,109930,122560,124536,106794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,17249070,766622,114998,96576,99026,110403,112184,96201,21082196,511082,140554,118037,121032,134937,137113,117579,19165633,638852,127776,107306,110029,122670,124649,106890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
